X,Y,OBJECTID,BRIDGE_ID,featint,county,facility,location,owner,yearbuilt,NHS_indicator,mrm_english,open_posted_closed,suff_rate,roadwidth,StructureType,Bridge_Condition,Bridge_Name
2763282.853,534384.0882,1910813,26155047,BURLINGTON NORTHERN RR,26 GRANT,MAIN ST-MARVIN,MAIN STREET MARVIN, 2 County Hwy Agency,1940,0 Not on NHS,0,"A Open, no restriction",74.400002,23.999,bridge,fair,-1
1095711.098,250006.6652,1910814,47111394,BEAR BUTTE CK,47 MEADE,SD034,6.0 NE JCT SD 79N, 1 State Highway Agency,2014,1 On the NHS,44.849998,"A Open, no restriction",96.800003,36.00065617,bridge,fair,_
2303969.209,512107.512,1910817,58011010,Snake Creek,58 SPINK,149th Street,5N 5.9W of Northville, 2 County Hwy Agency,1913,0 Not on NHS,0,P Posted for load,20.200001,17.201,bridge,poor,-1
2718496.836,-165506.7915,1910818,63110109,CK,63 TURNER,27890 451 AVE,3.9S & 2W PARKER, 2 County Hwy Agency,1950,0 Not on NHS,0,P Posted for load,39.400002,18.6,bridge,fair,-1
2511573.517,-297222.1721,1910820,5100118,CK,05 BON HOMME,SD037,0.3 N JCT SD 50, 1 State Highway Agency,1959,1 On the NHS,24.700001,"A Open, no restriction",85.5,30,bridge,fair,
1554243.31,449498.2747,1910821,69203288,BEAR CK,69 ZIEBACH,IRR COUNTY ROAD,0.2 N. DUPREE, 2 County Hwy Agency,1935,0 Not on NHS,0,P Posted for load,25.200001,15.8,bridge,poor,-1
2744377.252,-59176.43071,1910822,50030149,I090,50 MINNEHAHA,457 AVE,1.2 E SD 19 INTERCH, 1 State Highway Agency,1963,0 Not on NHS,0,"A Open, no restriction",87,30,bridge,fair,
2357525.196,414500.3841,1910823,58108196,Snake Creek,58 SPINK,387th Avenue,2.3S ASHTON, 2 County Hwy Agency,1997,0 Not on NHS,0,"A Open, no restriction",67,15.699,bridge,fair,-1
2506912.629,-44086.7939,1910825,31001106,"JAMES RV, BNSF RR",31 HANSON,I090 W,AT DAVISON CO LINE, 1 State Highway Agency,1967,1 On the NHS,334.54001,"A Open, no restriction",90.599998,32,bridge,fair,
2829827.976,-315129.7436,1910826,64010112,BRULE CK,64 UNION,30820 471 AVE.,10.2S BERESFORD, 2 County Hwy Agency,2016,0 Not on NHS,0,"A Open, no restriction",99.900002,30,bridge,good,
2762181.871,-232413.3733,1910828,63188240,TURKEY RIDGE CK,63 TURNER,45880 292ND ST,1S & 2.8E VIBORG, 2 County Hwy Agency,1995,0 Not on NHS,0,"A Open, no restriction",85.699997,17.79855643,bridge,good,-1
2818763.184,-9375.540486,1910830,50175060,250 ST,50 MINNEHAHA,I029 S,BALTIC INTERCHANGE, 1 State Highway Agency,1963,1 On the NHS,94.489998,"A Open, no restriction",96,38,bridge,fair,
2452970.597,683229.4673,1910831,7300169,CROW CK DITCH,07 BROWN,SD037,7.0 S JCT SD 10, 1 State Highway Agency,1961,0 Not on NHS,224.60001,"A Open, no restriction",74.800003,30,bridge,fair,-1
1128393.044,101218.5067,1910832,52428312,MEADE DITCH,52 PENNINGTON,CHERRY AVE,0.25MI S OF ST PATRICK ST, 4 City/Municipal Hwy Ag,1974,0 Not on NHS,0,"A Open, no restriction",61.900002,15,bridge,fair,_
2803598.639,191984.8245,1910833,6160158,SIX MILE CK,06 BROOKINGS,WESTERN AVE.,WESTERN AVE - BROOKINGS, 4 City/Municipal Hwy Ag,1988,0 Not on NHS,0,"A Open, no restriction",99.800003,43.999,bridge,good,-1
2537108.392,-122890.9348,1910836,34130017,TWELVE MILE CK,34 HUTCHINSON,26970 417 AVE.,"6.3N,7.0E PARKSTON", 2 County Hwy Agency,1978,0 Not on NHS,0,P Posted for load,46.799999,22,bridge,poor,_
2822004.306,-190844.6093,1910837,42064166,SNAKE CK,42 LINCOLN,I029 S,0.4 N US 18 W INTERCH, 1 State Highway Agency,1960,1 On the NHS,59.740002,"A Open, no restriction",92.400002,40,bridge,fair,
2617487.665,95901.52652,1910838,49160087,WEST FORK VERMILLION RV,49 MINER,434 AVE,4.3N HOWARD, 2 County Hwy Agency,1940,0 Not on NHS,0,"A Open, no restriction",77.699997,27.70013123,bridge,poor,-1
2496325.106,-120367.9363,1910840,34053010,SOUTH FORK TWELVE MILE C,34 HUTCHINSON,40930 269 ST.,6N .7 W PARKSTON S.D, 2 County Hwy Agency,1989,0 Not on NHS,0,"A Open, no restriction",71.099998,25.801,bridge,fair,_
1321772.012,322328.0822,1910841,47538240,RED OWL CK,47 MEADE,PLEASANT VIEW RD.,0.5S & 3.3E RED OWL, 2 County Hwy Agency,1955,0 Not on NHS,0,"A Open, no restriction",60.099998,16.3,bridge,fair,-1
1769817.944,-83532.98797,1910843,48250185,LITTLE WHITE RV,48 MELLETTE,US083,2 N OF WHITE RIVER, 1 State Highway Agency,2022,1 On the NHS,46.830002,"A Open, no restriction",92.300003,40,bridge,good,SGT Philip J. Iyotte
1558934.1,4999.630894,1910844,36295110,WHITE WILLOW CK,36 JACKSON,I090 W,1.3 W KADOKA INTERCH, 1 State Highway Agency,1967,1 On the NHS,148.74001,"A Open, no restriction",96.800003,37.99868766,bridge,fair,
1201979.324,673133.4393,1910845,32517215,SOUTH FORK GRAND RV,32 HARDING,SD079,6.5 N JCT SD 20, 1 State Highway Agency,1957,0 Not on NHS,210.59,"A Open, no restriction",88.300003,30,bridge,fair,-1
1505929.678,-251448.1351,1910846,4190180,LITTLE WHITE RV,04 BENNETT,SD073,3 S OF MARTIN, 1 State Highway Agency,1964,0 Not on NHS,9.7200003,"A Open, no restriction",84.099998,30,bridge,fair,-1
2297401.778,-271790.5895,1910847,27388292,SOUTH SCALP CK,27 GREGORY,371 AVENUE,5N US HWY 18, 2 County Hwy Agency,1977,0 Not on NHS,0,"A Open, no restriction",90.699997,29.79986877,bridge,fair,-1
2835610.567,-331276.0971,1910848,64020141,BRULE CK,64 UNION,31128 472ND AVE.RD,13.1S BERESFORD, 2 County Hwy Agency,1985,0 Not on NHS,0,P Posted for load,82.099998,27.29986877,bridge,poor,-1
2731471.479,-122732.4289,1910850,63138030,EAST FORK VERMILLION RV,63 TURNER,45380 271 ST,4N & 0.8E PARKER, 2 County Hwy Agency,1950,0 Not on NHS,0,"A Open, no restriction",51.200001,16.69947507,bridge,poor,-1
